S. No.,First Name,Surname,Country,Specialism,Batting ,Bowling style,BASE(RS - L),POINTS,,Star Player
149,Martin,Guptill,New Zealand,BATSMAN,RHB,-,200,42,Oversesas,No
150,Varun,Chakravarthy,India,BOWLER,RHB,Right-arm legbreak,200,37,Indian,No
151,Basil,Thampi,India,BOWLER,RHB,RIGHT ARM Fast Medium,50,30,Indian,No
152,Ishank,Jaggi,India,BATSMAN,RHB,-,20,25,Indian,No
153,David,Willey,England,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,100,35,Oversesas,No
154,Robin,Uthappa,India,BATSMAN,RHB,-,200,40,Indian,No
155,Nathan,Coulter-Nile,Australia,BOWLER,RHB,RIGHT ARM Fast Medium,200,39,Oversesas,No
156,Rahul,Sharma,India,BOWLER,RHB,RIGHT ARM Leg Spin,50,30,Indian,No
157,K L,Rahul,India,WICKETKEEPER,RHB,-,300,44,Indian,No
158,Mitchell,Santner,New Zealand,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,100,35,Oversesas,No
159,Shardul,Thakur,India,BOWLER,RHB,RIGHT ARM Fast Medium,200,39,Indian,No
160,Litton,Das,Bangladesh,WICKETKEEPER,RHB,-,100,34,Oversesas,No
161,Steve,Smith,Australia,BATSMAN,RHB,-,200,39,Oversesas,No
162,Ishant,Sharma,India,BOWLER,RHB,RIGHT ARM Fast,50,33,Indian,No
163,Joshua,Philippe,Australia,WICKETKEEPER,RHB,-,100,32,Oversesas,No
164,Pat,Cummins,Australia,ALL-ROUNDER,RHB,RIGHT ARM Fast,200,45,Oversesas,Yes
165,T.,Natarajan,India,BOWLER,LHB,LEFT ARM Fast,150,38,Indian,No
166,Bhuvneshwar,Kumar,India,BOWLER,RHB,RIGHT ARM Fast Medium,200,39,Indian,No
167,Tim,Seifert,New Zealand,WICKETKEEPER,RHB,-,50,30,Oversesas,No
168,Matthew,Wade,Australia,WICKETKEEPER,LHB,-,200,37,Oversesas,No
169,Sam,Billings,England,WICKETKEEPER,RHB,-,200,39,Oversesas,No
170,Jason,Holder,West Indies,ALL-ROUNDER,RHB,RIGHT ARM Fast,200,39,Oversesas,No
171,Amit,Mishra,India,BOWLER,RHB,RIGHT ARM Leg Spin,150,38,Indian,No
172,Nicholas,Pooran,West Indies,WICKETKEEPER,LHB,-,150,39,Oversesas,No
173,Shai,Hope,West Indies,WICKETKEEPER,RHB,-,100,35,Oversesas,No
174,Shikhar,Dhawan,India,BATSMAN,LHB,-,200,43,Indian,No
175,Washington,Sundar,India,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,150,37,Indian,No
176,Ravi,Bishnoi,India,BOWLER,RHB,Right-arm legbreak,150,38,Indian,No
177,Daniel,Sams,Australia,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,200,41,Oversesas,No
178,Dinesh,Karthik,India,WICKETKEEPER,RHB,-,200,44,Indian,No
,,,,,,,,,,
180,Rishabh,Pant,India,WICKETKEEPER,LHB,-,300,44,Indian,No
,,,,,,,,,,
182,Andre,Fletcher,West Indies,WICKETKEEPER,RHB,-,100,36,Oversesas,No
183,Rashid,Khan,Afghanistan,BOWLER,RHB,Right-arm legbreak,300,46,Oversesas,Yes
184,Rohit,Sharma,India,BATSMAN,RHB,-,350,47,Indian,Yes
185,Jos,Buttler,England,WICKETKEEPER,RHB,-,300,47,Oversesas,Yes
,,,,,,,,,,
187,Prithivi,Shaw,India,BATSMAN,RHB,-,150,37,Indian,No
188,Rahmanullah,Gurbaz,Afghanistan,WICKETKEEPER,RHB,-,100,36,Oversesas,No
189,Wanindu,Hasaranga,Sri Lanka,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,200,40,Oversesas,No
190,Pravin,Dubey,India,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,20,28,Indian,No
191,Moeen,Ali,England,ALL-ROUNDER,LHB,Right-arm offbreak,200,39,Oversesas,No
192,Umesh,Yadav,India,BOWLER,RHB,RIGHT ARM Fast,200,40,Indian,No
,,,,,,,,,,
194,Shreyas,Gopal,India,BOWLER,RHB,RIGHT ARM Leg Spin,100,35,Indian,No
195,Sandeep,Sharma,India,BOWLER,RHB,RIGHT ARM Fast Medium,50,28,Indian,No
196,Yuzvendra,Chahal,India,BOWLER,RHB,RIGHT ARM Leg Spin,300,47,Indian,Yes
197,Ishan,Kishan,India,WICKETKEEPER,LHB,-,200,41,Indian,No
,,,,,,,,,,
199,Chris,Jordan,England,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,200,38,Oversesas,No
200,Afif,Hossain,Bangladesh,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,100,32,Oversesas,No
,,,,,,,,,,
202,Adam,Zampa,Australia,BOWLER,RHB,RIGHT ARM Leg Spin,200,32,Oversesas,No
203,Priyam,Garg,India,BATSMAN,RHB,RIGHT ARM Off Spin,20,31,Indian,No
